model,scenario,region,variable,unit,period,value
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Biomass,GW,2030,224
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Biomass,GW,2030,272
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Coal,GW,2030,2316
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Coal,GW,2030,2111
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Coal,GW,2030,1644
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|CSP,GW,2030,16
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|CSP,GW,2030,23
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|CSP,GW,2030,52
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Gas,GW,2030,2387
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Gas,GW,2030,2254
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Gas,GW,2030,2084
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Geothermal,GW,2030,24
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Geothermal,GW,2030,27
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Geothermal,GW,2030,43
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Hydro,GW,2030,1555
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Hydro,GW,2030,1586
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Hydro,GW,2030,1728
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Marine,GW,2030,3
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Marine,GW,2030,4
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Marine,GW,2030,6
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Nuclear,GW,2030,436
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Nuclear,GW,2030,436
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Nuclear,GW,2030,482
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Oil,GW,2030,312
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Oil,GW,2030,298
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Oil,GW,2030,294
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Renewables,GW,2030,4618
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Renewables,GW,2030,5019
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Renewables,GW,2030,6359
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Solar|PV,GW,2030,1646
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Solar|PV,GW,2030,1866
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Solar|PV,GW,2030,2537
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Wind,GW,2030,1162
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Wind,GW,2030,1288
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Wind,GW,2030,1721
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Non-Biomass Renewables,GW,2030,4407
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Non-Biomass Renewables,GW,2030,4795
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Non-Biomass Renewables,GW,2030,6087
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity,GW,2035,11414
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity,GW,2035,11655
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity,GW,2035,13168
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Biomass,GW,2035,229
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Biomass,GW,2035,255
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Biomass,GW,2035,343
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Coal,GW,2035,2455
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Coal,GW,2035,2132
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Coal,GW,2035,1374
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|CSP,GW,2035,24
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|CSP,GW,2035,40
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|CSP,GW,2035,130
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Gas,GW,2035,2652
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Gas,GW,2035,2448
