# Demand for Final Fuels
sector,input,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,unit_conv
construction energy use,gas,Final Energy,Final Energy|Gases,,Final Energy|Industry,Final Energy|Industry|Gases,,Final Energy|Industry|Other Sector,Final Energy|Industry|Other Sector|Gases,,,,,Final Energy (w/o bunkers),1
construction energy use,H2 retail delivery,Final Energy,Final Energy|Hydrogen,,Final Energy|Industry,Final Energy|Industry|Hydrogen,,Final Energy|Industry|Other Sector,Final Energy|Industry|Other Sector|Hydrogen,,,,,Final Energy (w/o bunkers),1
construction energy use,H2 wholesale dispensing,Final Energy,Final Energy|Hydrogen,,Final Energy|Industry,Final Energy|Industry|Hydrogen,,Final Energy|Industry|Other Sector,Final Energy|Industry|Other Sector|Hydrogen,,,,,Final Energy (w/o bunkers),1
construction energy use,hydrogen,Final Energy,Final Energy|Hydrogen,,Final Energy|Industry,Final Energy|Industry|Hydrogen,,Final Energy|Industry|Other Sector,Final Energy|Industry|Other Sector|Hydrogen,,,,,Final Energy (w/o bunkers),1
construction energy use,refined liquids,Final Energy,Final Energy|Liquids,,Final Energy|Industry,Final Energy|Industry|Liquids,,Final Energy|Industry|Other Sector,Final Energy|Industry|Other Sector|Liquids,,,,,Final Energy (w/o bunkers),1
construction feedstocks,refined liquids,Final Energy,Final Energy|Liquids,,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Liquids,,Final Energy|Non-Energy Use|Non-Metallic Minerals,Final Energy|Non-Energy Use|Non-Metallic Minerals|Liquids,,,,,Final Energy (w/o bunkers),1
construction feedstocks,refined liquids feedstocks,Final Energy,Final Energy|Liquids,,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Liquids,,Final Energy|Non-Energy Use|Non-Metallic Minerals,Final Energy|Non-Energy Use|Non-Metallic Minerals|Liquids,,,,,Final Energy (w/o bunkers),1
desalinated water,electricity,Final Energy,Final Energy|Electricity,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Electricity,,Final Energy|Commercial,Final Energy|Commercial|Water,Final Energy|Commercial|Water|Desalination,Final Energy|Commercial|Electricity,,,Final Energy (w/o bunkers),1
desalinated water,gas,Final Energy,Final Energy|Gases,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Gases,,Final Energy|Commercial,Final Energy|Commercial|Water,Final Energy|Commercial|Water|Desalination,Final Energy|Commercial|Gases,,,Final Energy (w/o bunkers),1
desalinated water,refined liquids,Final Energy,Final Energy|Liquids,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Liquids,,Final Energy|Commercial,Final Energy|Commercial|Water,Final Energy|Commercial|Water|Desalination,Final Energy|Commercial|Liquids,,,Final Energy (w/o bunkers),1
food processing,electricity,Final Energy,Final Energy|Electricity,,Final Energy|Industry,Final Energy|Industry|Electricity,,Final Energy|Industry|Other Sector,Final Energy|Industry|Other Sector|Electricity,,,,,Final Energy (w/o bunkers),1
food processing,process heat food processing,NoReported,,,,,,,,,,,,,1
industrial energy use,biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Industry,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Biomass,Final Energy|Industry|Other Sector,Final Energy|Industry|Other Sector|Solids,Final Energy|Industry|Other Sector|Solids|Biomass,,,,Final Energy (w/o bunkers),1
industrial energy use,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,Final Energy|Industry,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,Final Energy|Industry|Other Sector,Final Energy|Industry|Other Sector|Solids,Final Energy|Industry|Other Sector|Solids|Coal,,,,Final Energy (w/o bunkers),1
industrial energy use,district heat,Final Energy,Final Energy|Heat,,Final Energy|Industry,Final Energy|Industry|Heat,,Final Energy|Industry|Other Sector,Final Energy|Industry|Other Sector|Heat,,,,,Final Energy (w/o bunkers),1
industrial energy use,electricity,Final Energy,Final Energy|Electricity,,Final Energy|Industry,Final Energy|Industry|Electricity,,Final Energy|Industry|Other Sector,Final Energy|Industry|Other Sector|Electricity,,,,,Final Energy (w/o bunkers),1
industrial energy use,gas,Final Energy,Final Energy|Gases,,Final Energy|Industry,Final Energy|Industry|Gases,,Final Energy|Industry|Other Sector,Final Energy|Industry|Other Sector|Gases,,,,,Final Energy (w/o bunkers),1
industrial energy use,refined liquids,Final Energy,Final Energy|Liquids,,Final Energy|Industry,Final Energy|Industry|Liquids,,Final Energy|Industry|Other Sector,Final Energy|Industry|Other Sector|Liquids,,,,,Final Energy (w/o bunkers),1
industrial feedstocks,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Solids,Final Energy|Non-Energy Use|Solids|Coal,Final Energy|Non-Energy Use|Other Sector,Final Energy|Non-Energy Use|Other Sector|Solids,Final Energy|Non-Energy Use|Other Sector|Solids|Coal,,,,Final Energy (w/o bunkers),1
industrial feedstocks,gas,Final Energy,Final Energy|Gases,,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Gases,,Final Energy|Non-Energy Use|Other Sector,Final Energy|Non-Energy Use|Other Sector|Gases,,,,,Final Energy (w/o bunkers),1
industrial feedstocks,refined liquids,Final Energy,Final Energy|Liquids,,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Liquids,,Final Energy|Non-Energy Use|Other Sector,Final Energy|Non-Energy Use|Other Sector|Liquids,,,,,Final Energy (w/o bunkers),1
industrial wastewater treatment,electricity,Final Energy,Final Energy|Electricity,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Electricity,,Final Energy|Commercial,Final Energy|Commercial|Water,,Final Energy|Commercial|Electricity,,,Final Energy (w/o bunkers),1
industrial water abstraction,electricity,Final Energy,Final Energy|Electricity,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Electricity,,Final Energy|Commercial,Final Energy|Commercial|Water,Final Energy|Commercial|Water|Groundwater Extraction,Final Energy|Commercial|Electricity,,,Final Energy (w/o bunkers),1
industrial water treatment,electricity,Final Energy,Final Energy|Electricity,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercial|Electricity,,Final Energy|Commercial,Final Energy|Commercial|Water,,Final Energy|Commercial|Electricity,,,Final Energy (w/o bunkers),1
iron and steel,biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Industry,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Biomass,Final Energy|Industry|Iron and Steel,Final Energy|Industry|Iron and Steel|Solids,Final Energy|Industry|Iron and Steel|Solids|Biomass,,,,Final Energy (w/o bunkers),1
iron and steel,delivered biomass industry,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Industry,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Biomass,Final Energy|Industry|Iron and Steel,Final Energy|Industry|Iron and Steel|Solids,Final Energy|Industry|Iron and Steel|Solids|Biomass,,,,Final Energy (w/o bunkers),1
