# Kyoto gases by sector
ghg,ghg_sector,sector,subsector,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,unit_conv
CH4,,resid heating,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Residential and Commercial,Emissions|Kyoto Gases|Energy|Demand|Residential,Emissions|Kyoto Gases|Energy|Demand|Residential and Commercial and AFOFI,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CH4,,resid others,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Residential and Commercial,Emissions|Kyoto Gases|Energy|Demand|Residential,Emissions|Kyoto Gases|Energy|Demand|Residential and Commercial and AFOFI,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CH4,AGR,Rice,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|AFOLU,Emissions|Kyoto Gases|AFOLU [NGHGI],Emissions|Kyoto Gases|AFOLU|Agriculture,,Emissions|Kyoto Gases|AFOLU|Agriculture|Rice,,,,,,,1
CH4,AWB,Rice,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|AFOLU,Emissions|Kyoto Gases|AFOLU [NGHGI],Emissions|Kyoto Gases|AFOLU|Agricultural Waste Burning,,,,,,,,,1
CH4,AWB,RootTuber,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|AFOLU,Emissions|Kyoto Gases|AFOLU [NGHGI],Emissions|Kyoto Gases|AFOLU|Agricultural Waste Burning,,,,,,,,,1
CH4,AGR,SheepGoat,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|AFOLU,Emissions|Kyoto Gases|AFOLU [NGHGI],Emissions|Kyoto Gases|AFOLU|Agriculture,,Emissions|Kyoto Gases|AFOLU|Agriculture|Livestock,Emissions|Kyoto Gases|AFOLU|Agriculture|Livestock|Enteric Fermentation,,,,,,1
CH4,AWB,Soybean,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|AFOLU,Emissions|Kyoto Gases|AFOLU [NGHGI],Emissions|Kyoto Gases|AFOLU|Agricultural Waste Burning,,,,,,,,,1
CH4,AWB,SugarCrop,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|AFOLU,Emissions|Kyoto Gases|AFOLU [NGHGI],Emissions|Kyoto Gases|AFOLU|Agricultural Waste Burning,,,,,,,,,1
CH4,,trn_freight,Domestic Ship,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Transportation,Emissions|Kyoto Gases|Energy|Demand|Transportation|Domestic Shipping,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CH4,,trn_freight,Freight Rail,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Transportation,Emissions|Kyoto Gases|Energy|Demand|Transportation|Rail,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CH4,,trn_freight_road,Heavy truck,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Transportation,Emissions|Kyoto Gases|Energy|Demand|Transportation|Truck,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CH4,,trn_freight_road,Light truck,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Transportation,Emissions|Kyoto Gases|Energy|Demand|Transportation|Truck,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CH4,,trn_freight_road,Medium truck,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Transportation,Emissions|Kyoto Gases|Energy|Demand|Transportation|Truck,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CH4,,trn_pass,Domestic Aviation,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Transportation,Emissions|Kyoto Gases|Energy|Demand|Transportation|Domestic Aviation,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CH4,,trn_pass,Passenger Rail,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Transportation,Emissions|Kyoto Gases|Energy|Demand|Transportation|Rail,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CH4,,trn_pass_road,Bus,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Transportation,Emissions|Kyoto Gases|Energy|Demand|Transportation|Bus,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CH4,,trn_pass_road_LDV,2W and 3W,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Transportation,Emissions|Kyoto Gases|Energy|Demand|Transportation|Light-Duty Vehicle,Emissions|Kyoto Gases|Energy|Demand|Transportation|Light-Duty Vehicle|Two-Wheeler,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
