"region","PrimaryFuelCO2Coef.name","PrimaryFuelCO2Coef"
"Canada","refined liquids industrial",0
"Central America and Caribbean","refined liquids industrial",0
"Central Asia","refined liquids industrial",0
"China","refined liquids industrial",0
"EU-12","refined liquids industrial",0
"EU-15","refined liquids industrial",0
"Europe_Eastern","refined liquids industrial",0
"Europe_Non_EU","refined liquids industrial",0
"European Free Trade Association","refined liquids industrial",0
"India","refined liquids industrial",0
"Indonesia","refined liquids industrial",0
"Japan","refined liquids industrial",0
"Mexico","refined liquids industrial",0
"Middle East","refined liquids industrial",0
"Pakistan","refined liquids industrial",0
"Russia","refined liquids industrial",0
"South Africa","refined liquids industrial",0
"South America_Northern","refined liquids industrial",0
"South America_Southern","refined liquids industrial",0
"South Asia","refined liquids industrial",0
"South Korea","refined liquids industrial",0
"Southeast Asia","refined liquids industrial",0
"Taiwan","refined liquids industrial",0
"Argentina","refined liquids industrial",0
"Colombia","refined liquids industrial",0
"USA","refined liquids agr",0
"Africa_Eastern","refined liquids agr",0
"Africa_Northern","refined liquids agr",0
"Africa_Southern","refined liquids agr",0
"Africa_Western","refined liquids agr",0
"Australia_NZ","refined liquids agr",0
"Brazil","refined liquids agr",0
"Canada","refined liquids agr",0
"Central America and Caribbean","refined liquids agr",0
"Central Asia","refined liquids agr",0
"China","refined liquids agr",0
"EU-12","refined liquids agr",0
"EU-15","refined liquids agr",0
"Europe_Eastern","refined liquids agr",0
"Europe_Non_EU","refined liquids agr",0
"European Free Trade Association","refined liquids agr",0
"India","refined liquids agr",0
"Indonesia","refined liquids agr",0
"Japan","refined liquids agr",0
"Mexico","refined liquids agr",0
"Middle East","refined liquids agr",0
"Pakistan","refined liquids agr",0
"Russia","refined liquids agr",0
"South Africa","refined liquids agr",0
"South America_Northern","refined liquids agr",0
"South America_Southern","refined liquids agr",0
"South Asia","refined liquids agr",0
"South Korea","refined liquids agr",0
"Southeast Asia","refined liquids agr",0
"Taiwan","refined liquids agr",0
"Argentina","refined liquids agr",0
"Colombia","refined liquids agr",0
"USA","refined liquids buildings",0
"Africa_Eastern","refined liquids buildings",0
"Africa_Northern","refined liquids buildings",0
"Africa_Southern","refined liquids buildings",0
"Africa_Western","refined liquids buildings",0
"Australia_NZ","refined liquids buildings",0
"Brazil","refined liquids buildings",0
"Canada","refined liquids buildings",0
"Central America and Caribbean","refined liquids buildings",0
"Central Asia","refined liquids buildings",0
"China","refined liquids buildings",0
"EU-12","refined liquids buildings",0
"EU-15","refined liquids buildings",0
"Europe_Eastern","refined liquids buildings",0
"Europe_Non_EU","refined liquids buildings",0
"European Free Trade Association","refined liquids buildings",0
"India","refined liquids buildings",0
"Indonesia","refined liquids buildings",0
"Japan","refined liquids buildings",0
"Mexico","refined liquids buildings",0
"Middle East","refined liquids buildings",0
"Pakistan","refined liquids buildings",0
"Russia","refined liquids buildings",0
"South Africa","refined liquids buildings",0
"South America_Northern","refined liquids buildings",0
"South America_Southern","refined liquids buildings",0
"South Asia","refined liquids buildings",0
"South Korea","refined liquids buildings",0
"Southeast Asia","refined liquids buildings",0
"Taiwan","refined liquids buildings",0
"Argentina","refined liquids buildings",0
"Colombia","refined liquids buildings",0
"USA","refined liquids transport",0
"Africa_Eastern","refined liquids transport",0
"Africa_Northern","refined liquids transport",0
"Africa_Southern","refined liquids transport",0
"Africa_Western","refined liquids transport",0
"Australia_NZ","refined liquids transport",0
"Brazil","refined liquids transport",0
"Canada","refined liquids transport",0
"Central America and Caribbean","refined liquids transport",0
"Central Asia","refined liquids transport",0
"China","refined liquids transport",0
"EU-12","refined liquids transport",0
"EU-15","refined liquids transport",0
"Europe_Eastern","refined liquids transport",0
"Europe_Non_EU","refined liquids transport",0
"European Free Trade Association","refined liquids transport",0
"India","refined liquids transport",0
"Indonesia","refined liquids transport",0
"Japan","refined liquids transport",0
"Mexico","refined liquids transport",0
"Middle East","refined liquids transport",0
"Pakistan","refined liquids transport",0
"Russia","refined liquids transport",0
"South Africa","refined liquids transport",0
"South America_Northern","refined liquids transport",0
"South America_Southern","refined liquids transport",0
"South Asia","refined liquids transport",0
"South Korea","refined liquids transport",0
"Southeast Asia","refined liquids transport",0
"Taiwan","refined liquids transport",0
"Argentina","refined liquids transport",0
"Colombia","refined liquids transport",0
"USA","refined liquids bunkers",0
"Africa_Eastern","refined liquids bunkers",0
"Africa_Northern","refined liquids bunkers",0
"Africa_Southern","refined liquids bunkers",0
"Africa_Western","refined liquids bunkers",0
"Australia_NZ","refined liquids bunkers",0
"Brazil","refined liquids bunkers",0
"Canada","refined liquids bunkers",0
"Central America and Caribbean","refined liquids bunkers",0
"Central Asia","refined liquids bunkers",0
"China","refined liquids bunkers",0
"EU-12","refined liquids bunkers",0
"EU-15","refined liquids bunkers",0
"Europe_Eastern","refined liquids bunkers",0
"Europe_Non_EU","refined liquids bunkers",0
"European Free Trade Association","refined liquids bunkers",0
"India","refined liquids bunkers",0
"Indonesia","refined liquids bunkers",0
"Japan","refined liquids bunkers",0
"Mexico","refined liquids bunkers",0
"Middle East","refined liquids bunkers",0
"Pakistan","refined liquids bunkers",0
"Russia","refined liquids bunkers",0
"South Africa","refined liquids bunkers",0
"South America_Northern","refined liquids bunkers",0
"South America_Southern","refined liquids bunkers",0
"South Asia","refined liquids bunkers",0
"South Korea","refined liquids bunkers",0
"Southeast Asia","refined liquids bunkers",0
"Taiwan","refined liquids bunkers",0
"Argentina","refined liquids bunkers",0
"Colombia","refined liquids bunkers",0
