# non co2 emissions map
sector,subsector,ghg,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,unit_conv
ammonia,,CH4,Emissions|CH4,Emissions|CH4|Industrial Processes,Emissions|CH4|Industrial Processes|Chemicals,,Emissions|CH4|Industrial Processes|Chemicals|Ammonia,,,,,,,,,Emissions|CH4|Energy and Industrial Processes,1
backup_electricity,,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Supply,,Emissions|CH4|Energy|Supply|Electricity,,,,,,,,,Emissions|CH4|Energy and Industrial Processes,1
chemical energy use,biomass,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand,,Emissions|CH4|Energy|Demand|Industry,Emissions|CH4|Energy|Demand|Industry|Biomass,,,,,,,,Emissions|CH4|Energy and Industrial Processes,1
chemical energy use,,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand,,Emissions|CH4|Energy|Demand|Industry,,,,,,,,,Emissions|CH4|Energy and Industrial Processes,1
comm cooling,,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand,,Emissions|CH4|Energy|Demand|Residential and Commercial,,,Emissions|CH4|Energy|Demand|Commercial,,,Emissions|CH4|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|CH4|Energy and Industrial Processes,1
comm heating,biomass,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand,,Emissions|CH4|Energy|Demand|Residential and Commercial,Emissions|CH4|Energy|Demand|Residential and Commercial|Biomass,,Emissions|CH4|Energy|Demand|Commercial,Emissions|CH4|Energy|Demand|Commercial|Biomass,,Emissions|CH4|Energy|Demand|Residential and Commercial and AFOFI,Emissions|CH4|Energy|Demand|Residential and Commercial and AFOFI|Biomass,,Emissions|CH4|Energy and Industrial Processes,1
comm heating,,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand,,Emissions|CH4|Energy|Demand|Residential and Commercial,,,Emissions|CH4|Energy|Demand|Commercial,,,Emissions|CH4|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|CH4|Energy and Industrial Processes,1
comm others,biomass,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand,,Emissions|CH4|Energy|Demand|Residential and Commercial,Emissions|CH4|Energy|Demand|Residential and Commercial|Biomass,,Emissions|CH4|Energy|Demand|Commercial,Emissions|CH4|Energy|Demand|Commercial|Biomass,,Emissions|CH4|Energy|Demand|Residential and Commercial and AFOFI,Emissions|CH4|Energy|Demand|Residential and Commercial and AFOFI|Biomass,,Emissions|CH4|Energy and Industrial Processes,1
comm others,,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand,,Emissions|CH4|Energy|Demand|Residential and Commercial,,,Emissions|CH4|Energy|Demand|Commercial,,,Emissions|CH4|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|CH4|Energy and Industrial Processes,1
construction energy use,,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand,,Emissions|CH4|Energy|Demand|Industry,,,,,,,,,Emissions|CH4|Energy and Industrial Processes,1
district heat,biomass,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Supply,Emissions|CH4|Energy|Supply|Biomass,Emissions|CH4|Energy|Supply|Heat,Emissions|CH4|Energy|Supply|Heat|Biomass,,,,,,,,Emissions|CH4|Energy and Industrial Processes,1
district heat,,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Supply,,Emissions|CH4|Energy|Supply|Heat,,,,,,,,,Emissions|CH4|Energy and Industrial Processes,1
electricity,biomass,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Supply,Emissions|CH4|Energy|Supply|Biomass,Emissions|CH4|Energy|Supply|Electricity,Emissions|CH4|Energy|Supply|Electricity|Biomass,,,,,,,,Emissions|CH4|Energy and Industrial Processes,1
electricity,,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Supply,,Emissions|CH4|Energy|Supply|Electricity,,,,,,,,,Emissions|CH4|Energy and Industrial Processes,1
H2 central production,biomass,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Supply,Emissions|CH4|Energy|Supply|Biomass,Emissions|CH4|Energy|Supply|Hydrogen,,,,,,,,,Emissions|CH4|Energy and Industrial Processes,1
H2 central production,,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Supply,,Emissions|CH4|Energy|Supply|Hydrogen,,,,,,,,,Emissions|CH4|Energy and Industrial Processes,1
industrial energy use,,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand,,Emissions|CH4|Energy|Demand|Industry,,,,,,,,,Emissions|CH4|Energy and Industrial Processes,1
industrial processes,solvents,CH4,Emissions|CH4,Emissions|CH4|Product Use,Emissions|CH4|Product Use|Solvents,,,,,,,,,,,,1
industrial processes,,CH4,Emissions|CH4,Emissions|CH4|Industrial Processes,,,,,,,,,,,,Emissions|CH4|Energy and Industrial Processes,1
