# Description: per-basin vegetation and soil carbon densities used as emission factors for afforestation/reforestation (AR) carbon storage estimation
# Usage: cdf_lulucf computation
# Source: GCAM v8 ScenMIP - GCAM_land_carbon_info_ScenMIP (Xin Zhao, 2026-05-14) 
region,basin,LandLeaf,veg.carbon.density,soil.carbon.density,mature.age,min.soil.carbon.density,SoilTime
Europe_Non_EU,TigrEuphR,UnmanagedPasture_TigrEuphR,22,352,10,264.422180388656,50
Europe_Non_EU,EJrdnSyr,UnmanagedPasture_EJrdnSyr,25.6666666666667,381.333333333333,10,128.333333333333,50
European Free Trade Association,ScndnvN,UnmanagedPasture_ScndnvN,201.666666666667,616,10,518.342232279401,50
European Free Trade Association,Iceland,UnmanagedPasture_Iceland,58.6666666666667,586.666666666667,10,506.374780498437,50
European Free Trade Association,Sweden,UnmanagedPasture_Sweden,198,616,10,497.438989407741,50
European Free Trade Association,RhineR,UnmanagedPasture_RhineR,161.333333333333,498.666666666667,10,428.529666723014,50
European Free Trade Association,DanubeR,UnmanagedPasture_DanubeR,124.666666666667,498.666666666667,10,429.414330218069,50
European Free Trade Association,PoR,UnmanagedPasture_PoR,249.333333333333,528,10,470.739973108439,50
European Free Trade Association,RhoneR,UnmanagedPasture_RhoneR,135.666666666667,528,10,449.263684377161,50
India,IndusR,UnmanagedPasture_IndusR,99,462,11,368.928671879535,25
India,SabarmatiR,UnmanagedPasture_SabarmatiR,22,194.333333333333,16,136.634620512145,25
India,GangesR,UnmanagedPasture_GangesR,91.6666666666667,315.333333333333,15,235.421117308599,25
India,MahiR,UnmanagedPasture_MahiR,18.3333333333333,176,18,155.564279016608,25
India,BengalBay,UnmanagedPasture_BengalBay,25.6666666666667,381.333333333333,10,246.226054993547,25
India,TaptiR,UnmanagedPasture_TaptiR,135.666666666667,205.333333333333,18,179.306628912798,25
India,BengalW,UnmanagedPasture_BengalW,14.6666666666667,198,16,184.991738968268,25
India,BrahmaniR,UnmanagedPasture_BrahmaniR,77,220,20,202.148047233771,25
India,MahanadiR,UnmanagedPasture_MahanadiR,128.333333333333,242,22,207.399165829924,25
India,GodavariR,UnmanagedPasture_GodavariR,110,245.666666666667,23,183.905921875228,25
India,IndCstNE,UnmanagedPasture_IndCstNE,99,249.333333333333,18,210.399535041058,25
India,IndCstW,UnmanagedPasture_IndCstW,139.333333333333,341,18,274.738555904532,25
India,IrrawaddyR,UnmanagedPasture_IrrawaddyR,304.333333333333,348.333333333333,11,322.57814632481,25
India,KrishnaR,UnmanagedPasture_KrishnaR,40.3333333333333,234.666666666667,19,186.716476369535,25
India,AdnNicIsl,UnmanagedPasture_AdnNicIsl,330,264,10,244.437176835574,25
India,IndCstE,UnmanagedPasture_IndCstE,51.3333333333333,348.333333333333,11,264.659587119683,25
India,PennarR,UnmanagedPasture_PennarR,179.666666666667,242,16,174.815183753289,25
India,CauveryR,UnmanagedPasture_CauveryR,22,212.666666666667,15,243.548734631794,25
India,IndCstS,UnmanagedPasture_IndCstS,205.333333333333,381.333333333333,11,298.722943471464,25
India,NarmadaR,UnmanagedPasture_NarmadaR,176,234.666666666667,22,184.914268061106,25
Indonesia,IdnE,UnmanagedPasture_IdnE,139.333333333333,491.333333333333,11,455.973173038059,25
Indonesia,BorneoCstN,UnmanagedPasture_BorneoCstN,216.333333333333,968,10,740.574299879405,25
Indonesia,Sumatra,UnmanagedPasture_Sumatra,304.333333333333,964.333333333333,20,826.32628050136,25
Indonesia,Sulawesi,UnmanagedPasture_Sulawesi,253,465.666666666667,16,475.681325883485,25
Indonesia,Kalimantan,UnmanagedPasture_Kalimantan,231,1261.33333333333,10,834.746350065974,25
Indonesia,IrianJaya,UnmanagedPasture_IrianJaya,528,825,15,634.404234242191,25
Indonesia,JavaTimor,UnmanagedPasture_JavaTimor,117.333333333333,440,10,384.218607217137,25
Indonesia,SepikR,UnmanagedPasture_SepikR,528,561,11,491.103460372652,25
Indonesia,FlyR,UnmanagedPasture_FlyR,25.6666666666667,381.333333333333,10,564.666666666667,25
Japan,Japan,UnmanagedPasture_Japan,128.333333333333,480.333333333333,11,477.12379547355,50
Japan,Taiwan,UnmanagedPasture_Taiwan,25.6666666666667,381.333333333333,10,250.512577836716,50
Mexico,MexBaja,UnmanagedPasture_MexBaja,25.6666666666667,77,10,61.370115558263,25
Mexico,MexCstNW,UnmanagedPasture_MexCstNW,25.6666666666667,146.666666666667,10,152.348700698504,25
