# Water XXs by subsector
sector,subsector,var1,var2,var3,var4,unit_conv
biomass,biomassGrass_Sulawesi,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Sumatra,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_BorneoCstN,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_IdnE,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_IrianJaya,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_JavaTimor,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Kalimantan,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Sulawesi,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Sumatra,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Japan,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Taiwan,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Japan,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Taiwan,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_California,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_MexBaja,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_MexCstNW,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_MexCstW,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_MexGulf,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_MexInt,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Papaloapan,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_RioBalsas,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_RioGrande,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_RioLerma,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_RioVerde,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Tehuantpc,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_UsaColoRS,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_California,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_MexBaja,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_MexCstNW,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_MexCstW,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_MexGulf,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_MexInt,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Papaloapan,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_RioBalsas,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_RioGrande,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_RioLerma,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_RioVerde,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Tehuantpc,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_UsaColoRS,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_ArabianP,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_ArabianSea,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_DeadSea,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_FarahrudR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_HamuMashR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Helmand,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Iran,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_PersianGulf,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_RedSeaE,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_CaspianE,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Iran,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_BarentsSea,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_DvinaRN,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_LenaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_SiberiaW,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_BarentsSea,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_DvinaRN,Water XX,Water XX|Irrigation,,,1
