#Resource extraction
resource,var1,var2,unit_conv
PacArctic_water consumption,NoReported,,1
PacArctic_water withdrawals,NoReported,,1
Pampas_water consumption,NoReported,,1
Pampas_water withdrawals,NoReported,,1
Papaloapan_water consumption,NoReported,,1
Papaloapan_water withdrawals,NoReported,,1
PapuaCst_water consumption,NoReported,,1
PapuaCst_water withdrawals,NoReported,,1
ParnaibaR_water consumption,NoReported,,1
ParnaibaR_water withdrawals,NoReported,,1
Patagonia_water consumption,NoReported,,1
Patagonia_water withdrawals,NoReported,,1
PennarR_water consumption,NoReported,,1
PennarR_water withdrawals,NoReported,,1
PersianGulf_water consumption,NoReported,,1
PersianGulf_water withdrawals,NoReported,,1
PeruCst_water consumption,NoReported,,1
PeruCst_water withdrawals,NoReported,,1
Phlppns_water consumption,NoReported,,1
Phlppns_water withdrawals,NoReported,,1
PolandCst_water consumption,NoReported,,1
PolandCst_water withdrawals,NoReported,,1
PoR_water consumption,NoReported,,1
PoR_water withdrawals,NoReported,,1
RedSeaE_water consumption,NoReported,,1
RedSeaE_water withdrawals,NoReported,,1
Residue,NoReported,,1
RhineR_water consumption,NoReported,,1
RhineR_water withdrawals,NoReported,,1
RhoneR_water consumption,NoReported,,1
RhoneR_water withdrawals,NoReported,,1
RiftValley_water consumption,NoReported,,1
RiftValley_water withdrawals,NoReported,,1
RioBalsas_water consumption,NoReported,,1
RioBalsas_water withdrawals,NoReported,,1
RioGrande_water consumption,NoReported,,1
RioGrande_water withdrawals,NoReported,,1
RioLaPlata_water consumption,NoReported,,1
RioLaPlata_water withdrawals,NoReported,,1
RioLerma_water consumption,NoReported,,1
RioLerma_water withdrawals,NoReported,,1
RioVerde_water consumption,NoReported,,1
RioVerde_water withdrawals,NoReported,,1
RusCstSE_water consumption,NoReported,,1
RusCstSE_water withdrawals,NoReported,,1
SabarmatiR_water consumption,NoReported,,1
SabarmatiR_water withdrawals,NoReported,,1
Salinas_water consumption,NoReported,,1
Salinas_water withdrawals,NoReported,,1
Salween_water consumption,NoReported,,1
Salween_water withdrawals,NoReported,,1
SAmerCstN_water consumption,NoReported,,1
SAmerCstN_water withdrawals,NoReported,,1
SAmerCstNE_water consumption,NoReported,,1
SAmerCstNE_water withdrawals,NoReported,,1
SaoFrancR_water consumption,NoReported,,1
SaoFrancR_water withdrawals,NoReported,,1
Scavenging_Other_Rsrc,NoReported,,1
ScheldtR_water consumption,NoReported,,1
ScheldtR_water withdrawals,NoReported,,1
SChinaSea_water consumption,NoReported,,1
SChinaSea_water withdrawals,NoReported,,1
ScndnvN_water consumption,NoReported,,1
ScndnvN_water withdrawals,NoReported,,1
Scotland_water consumption,NoReported,,1
Scotland_water withdrawals,NoReported,,1
scrap,NoReported,,1
seawater,NoReported,,1
SeineR_water consumption,NoReported,,1
SeineR_water withdrawals,NoReported,,1
SenegalR_water consumption,NoReported,,1
SenegalR_water withdrawals,NoReported,,1
SepikR_water consumption,NoReported,,1
SepikR_water withdrawals,NoReported,,1
ShebJubR_water consumption,NoReported,,1
ShebJubR_water withdrawals,NoReported,,1
SiberiaN_water consumption,NoReported,,1
SiberiaN_water withdrawals,NoReported,,1
SiberiaW_water consumption,NoReported,,1
SiberiaW_water withdrawals,NoReported,,1
SinaiP_water consumption,NoReported,,1
SinaiP_water withdrawals,NoReported,,1
SittaungR_water consumption,NoReported,,1
SittaungR_water withdrawals,NoReported,,1
SolomonIsl_water consumption,NoReported,,1
SolomonIsl_water withdrawals,NoReported,,1
SpainCstSE_water consumption,NoReported,,1
SpainCstSE_water withdrawals,NoReported,,1
SriLanka_water consumption,NoReported,,1
SriLanka_water withdrawals,NoReported,,1
StLwrncR_water consumption,NoReported,,1
StLwrncR_water withdrawals,NoReported,,1
Sulawesi_water consumption,NoReported,,1
Sulawesi_water withdrawals,NoReported,,1
Sumatra_water consumption,NoReported,,1
Sumatra_water withdrawals,NoReported,,1
Sweden_water consumption,NoReported,,1
Sweden_water withdrawals,NoReported,,1
SyrDaryaR_water consumption,NoReported,,1
SyrDaryaR_water withdrawals,NoReported,,1
TagusR_water consumption,NoReported,,1
TagusR_water withdrawals,NoReported,,1
Taiwan_water consumption,NoReported,,1
Taiwan_water withdrawals,NoReported,,1
TaptiR_water consumption,NoReported,,1
TaptiR_water withdrawals,NoReported,,1
Tarim_water consumption,NoReported,,1
Tarim_water withdrawals,NoReported,,1
Tasmania_water consumption,NoReported,,1
Tasmania_water withdrawals,NoReported,,1
Tehuantpc_water consumption,NoReported,,1
Tehuantpc_water withdrawals,NoReported,,1
TennR_water consumption,NoReported,,1
TennR_water withdrawals,NoReported,,1
TexasCst_water consumption,NoReported,,1
TexasCst_water withdrawals,NoReported,,1
ThaiGulf_water consumption,NoReported,,1
ThaiGulf_water withdrawals,NoReported,,1
TiberR_water consumption,NoReported,,1
TiberR_water withdrawals,NoReported,,1
Tibet_water consumption,NoReported,,1
Tibet_water withdrawals,NoReported,,1
TigrEuphR_water consumption,NoReported,,1
TigrEuphR_water withdrawals,NoReported,,1
TocantinsR_water consumption,NoReported,,1
TocantinsR_water withdrawals,NoReported,,1
traditional biomass,NoReported,,1
unconventional oil upscaling,Resource|Extraction|Oil,Resource|Extraction|Fossil,1
UralR_water consumption,NoReported,,1
UralR_water withdrawals,NoReported,,1
uranium,NoReported,,1
UsaColoRN_water consumption,NoReported,,1
UsaColoRN_water withdrawals,NoReported,,1
UsaColoRS_water consumption,NoReported,,1
UsaColoRS_water withdrawals,NoReported,,1
UsaCstE_water consumption,NoReported,,1
UsaCstE_water withdrawals,NoReported,,1
UsaCstNE_water consumption,NoReported,,1
UsaCstNE_water withdrawals,NoReported,,1
UsaCstSE_water consumption,NoReported,,1
UsaCstSE_water withdrawals,NoReported,,1
UsaPacNW_water consumption,NoReported,,1
UsaPacNW_water withdrawals,NoReported,,1
VietnamCst_water consumption,NoReported,,1
VietnamCst_water withdrawals,NoReported,,1
VolgaR_water consumption,NoReported,,1
VolgaR_water withdrawals,NoReported,,1
VoltaR_water consumption,NoReported,,1
VoltaR_water withdrawals,NoReported,,1
WislaR_water consumption,NoReported,,1
WislaR_water withdrawals,NoReported,,1
XunJiang_water consumption,NoReported,,1
XunJiang_water withdrawals,NoReported,,1
Yangtze_water consumption,NoReported,,1
Yangtze_water withdrawals,NoReported,,1
YeniseiR_water consumption,NoReported,,1
YeniseiR_water withdrawals,NoReported,,1
YucatanP_water consumption,NoReported,,1
YucatanP_water withdrawals,NoReported,,1
ZambeziR_water consumption,NoReported,,1
ZambeziR_water withdrawals,NoReported,,1
ZiyaHe_water consumption,NoReported,,1
ZiyaHe_water withdrawals,NoReported,,1
